Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Toyota,Land Cruiser, 2008,Нур-Султан (Астана),внедорожник,4.7 (газ-бензин),260 000 км,автомат,слева,серый,полный привод,Нет,11 500 000 ₸,13 922 000,,,,
Kia,Optima, 2017,Уральск,седан,2.4 (бензин),85 000 км,типтроник,слева,белый,передний привод,Нет,5 000 000 ₸,8 800 000,,,,
Land Rover,Range Rover Sport, 2016,Алматы,внедорожник,3 (бензин),49 000 км,автомат,слева,белый,полный привод,Да,25 500 000 ₸,25 500 000,,,,
Mercedes-Benz,E 220, 1994,Шымкент,седан,2 (бензин),,механика,слева,серый металлик,задний привод,Да,1 900 000 ₸,2 055 000,На заказ,,,
Mercedes-Benz,ML 400, 2014,Нур-Султан (Астана),кроссовер,3 (бензин),33 000 км,автомат,слева,черный,полный привод,Да,16 300 000 ₸,14 000 000,,,,
Daewoo,Gentra, 2014,Актау,седан,1.6 (газ-бензин),,автомат,слева,белый,передний привод,Да,2 300 000 ₸,3 284 000,,,,
Toyota,Camry, 2019,Алматы,седан,2.5 (бензин),22 000 км,автомат,слева,черный металлик,передний привод,Да,13 700 000 ₸,13 687 000,,,,
Subaru,Outback, 2015,Нур-Султан (Астана),универсал,2.5 (бензин),93 000 км,автомат,слева,серый металлик,полный привод,Да,11 200 000 ₸,10 831 000,,,,
Toyota,Corolla, 2012,Нур-Султан (Астана),седан,1.6 (бензин),216 000 км,автомат,слева,черный,передний привод,Да,5 800 000 ₸,5 375 000,,,,
Toyota,Land Cruiser, 2014,Нур-Султан (Астана),внедорожник,4.6 (бензин),205 000 км,автомат,слева,белый металлик,полный привод,Да,21 000 000 ₸,21 031 000,,,,
Audi,A6, 2012,Актобе,седан,2 (бензин),63 000 км,автомат,слева,,,Нет,4 400 000 ₸,8 056 000,,,,
Chevrolet,Cruze, 2013,Алматы,седан,1.6 (бензин),,механика,слева,,,Да,3 550 000 ₸,3 768 000,,,,
