Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Mercedes-Benz,E 240, 2000,Нур-Султан (Астана),седан,2.4 (газ-бензин),,автомат,слева,серебристый металлик,задний привод,Да,3 511 111 ₸,3 511 000,,,,
Mazda,6, 2012,Атырау,седан,2.5 (бензин),,автомат,слева,белый металлик,передний привод,Нет,3 990 000 ₸,4 150 000,,,,
Toyota,Camry, 2007,Нур-Султан (Астана),седан,3.5 (бензин),419 242 км,автомат,слева,серебристый,передний привод,Да,6 800 000 ₸,5 098 000,,,,
Hyundai,Accent, 2011,Атырау,универсал,1.6 (бензин),120 000 км,автомат,слева,бежевый,передний привод,Да,3 500 000 ₸,3 561 000,,,,
Toyota,Camry, 2018,Алматы,седан,2.5 (бензин),60 000 км,автомат,слева,черный металлик,передний привод,Да,13 000 000 ₸,12 966 000,,,,
Subaru,Forester, 1998,Семей,универсал,2 (бензин),,механика,справа,серебристый металлик,полный привод,Да,2 100 000 ₸,2 524 000,,,,
Volkswagen,Polo, 2015,Шымкент,седан,1.6 (бензин),,механика,слева,,,Да,4 000 000 ₸,4 255 000,,,,
Land Rover,Range Rover Evoque, 2012,Актобе,кроссовер,2.2 (дизель),76 200 км,автомат,слева,белый,полный привод,Да,9 900 000 ₸,9 746 000,,,,
Kia,Sportage, 2007,Алматы,кроссовер,2 (дизель),240 000 км,автомат,слева,белый,передний привод,Да,3 500 000 ₸,3 780 000,,,,
Mercedes-Benz,Sprinter, 2005,Караганда,микроавтобус,2.2 (дизель),500 000 км,механика,слева,белый,задний привод,Да,5 700 000 ₸,5 025 000,,,,
Subaru,Outback, 2000,Алматы,универсал,2.5 (бензин),337 959 км,механика,слева,зеленый металлик,полный привод,Да,2 600 000 ₸,3 018 000,,,,
Ford,Explorer, 2013,Алматы,внедорожник,3.5 (бензин),102 000 км,автомат,слева,черный металлик,полный привод,Да,13 500 000 ₸,11 675 000,,,,
ВАЗ (Lada),2131 (5-ти дверный), 2015,Уральск,универсал,1.7 (бензин),150 000 км,механика,слева,белый,полный привод,Нет,1 500 000 ₸,3 350 000,,Xta21315*99****gj,,
Toyota,Crown, 2006,Усть-Каменогорск,седан,3.5 (бензин),,автомат,справа,белый металлик,задний привод,Нет,2 650 000 ₸,6 200 000,,,,
ГАЗ,ГАЗель, 2012,Атырау,пикап,3 (дизель),205 000 км,механика,слева,,задний привод,Да,4 200 000 ₸,4 725 000,,,,
Lexus,LX 570, 2010,Жанаозен,внедорожник,5.7 (бензин),125 528 км,автомат,слева,черный,полный привод,Да,17 500 000 ₸,17 842 000,,,,
Skoda,Superb, 2019,Алматы,лифтбек,2 (бензин),23 165 км,робот,слева,серый металлик,полный привод,Да,14 900 000 ₸,13 297 000,,,,
Ravon,Nexia R3, 2016,Алматы,седан,1.5 (бензин),83 000 км,механика,слева,серебристый,передний привод,Да,3 000 000 ₸,3 538 000,,,,
ГАЗ,3102 (Волга), 2005,Алматы,седан,2.3 (бензин),,автомат,слева,черный металлик,задний привод,Нет,3 100 000 ₸,1 000 000,,,,
Hyundai,Sonata, 2006,Шымкент,седан,2 (газ),214 000 км,механика,слева,белый,передний привод,Да,2 700 000 ₸,2 840 000,,,,
ВАЗ (Lada),Largus, 2014,Актобе,универсал,1.6 (бензин),260 000 км,механика,слева,белый,передний привод,Нет,2 250 000 ₸,3 251 000,,,,
Nissan,Primera, 1999,Семей,универсал,2 (бензин),250 000 км,автомат,справа,серебристый металлик,полный привод,Да,2 500 000 ₸,1 393 000,,,,
Daewoo,Nexia, 2012,Костанай,седан,1.5 (бензин),132 000 км,механика,слева,черный металлик,передний привод,Нет,1 100 000 ₸,1 679 000,,,,
Nissan,Qashqai, 2013,Алматы,универсал,1.6 (бензин),90 400 км,вариатор,слева,белый,передний привод,Да,5 500 000 ₸,5 340 000,,,,
Toyota,Alphard, 2015,Алматы,минивэн,3.5 (бензин),73 000 км,автомат,слева,белый металлик,,Да,22 500 000 ₸,22 500 000,,,,
Ford,Explorer, 2005,Нур-Султан (Астана),внедорожник,4.6 (бензин),150 000 км,автомат,слева,черный,полный привод,Да,3 300 000 ₸,4 173 000,,,,
Toyota,Camry, 2003,Шымкент,седан,2.4 (бензин),,автомат,слева,серый,передний привод,Да,3 900 000 ₸,4 104 000,,,,
Peugeot,406, 2001,Бишкуль,седан,1.8 (бензин),,механика,слева,синий металлик,передний привод,Да,1 800 000 ₸,1 650 000,,,,
Volkswagen,Touran, 2007,Нур-Султан (Астана),микровэн,2 (дизель),370 000 км,типтроник,слева,черный,передний привод,Да,3 750 000 ₸,3 908 000,,,,
ГАЗ,ГАЗель, 2006,Алматы,универсал,2.5 (газ-бензин),220 000 км,механика,слева,белый металлик,задний привод,Да,3 200 000 ₸,3 066 000,,,,
BMW,318, 1991,Талдыкорган,седан,1.8 (бензин),,автомат,слева,черный,задний привод,Да,1 000 000 ₸,921 000,,,,
Toyota,Alphard, 2007,Алматы,минивэн,3 (бензин),143 км,автомат,справа,черный металлик,полный привод,Нет,4 500 000 ₸,3 200 000,,,,
Mercedes-Benz,GL 500, 2013,Караганда,внедорожник,4.7 (бензин),122 000 км,автомат,слева,белый,,Да,19 000 000 ₸,18 618 000,,,,
Mercedes-Benz,E 230, 1990,Аральск,универсал,2.3 (бензин),253 000 км,автомат,слева,серебристый металлик,задний привод,Да,1 400 000 ₸,1 363 000,,,,
ВАЗ (Lada),2110 (седан), 1999,Нур-Султан (Астана),седан,1.5 (газ-бензин),200 000 км,механика,справа,белый металлик,передний привод,Да,720 000 ₸,683 000,,,,
Lexus,ES 250, 2013,Тараз,седан,2.5 (бензин),,типтроник,слева,белый,передний привод,Да,11 000 000 ₸,10 500 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2013,Семей,хэтчбек,1.6 (бензин),,механика,слева,черный,передний привод,Да,1 500 000 ₸,1 646 000,,,,
Toyota,RAV 4, 2007,Алматы,кроссовер,2 (газ-бензин),,автомат,слева,серебристый металлик,полный привод,Да,6 400 000 ₸,6 028 000,,,,
Mercedes-Benz,E 550, 2010,Алматы,седан,5.5 (бензин),166 000 км,автомат,слева,коричневый металлик,полный привод,Да,9 500 000 ₸,11 500 000,,,,
Toyota,Camry, 2006,Алматы,седан,2.6 (бензин),,автомат,слева,голубой металлик,передний привод,Да,4 678 000 ₸,4 893 000,,,,
Mercedes-Benz,Sprinter, 2006,Тараз,микроавтобус,2.2 (дизель),,механика,слева,белый,задний привод,Нет,2 500 000 ₸,5 750 000,,,,
Lexus,LS 430, 2002,Алматы,седан,4.3 (газ-бензин),205 000 км,автомат,слева,серебристый металлик,задний привод,Нет,3 199 999 ₸,4 000 000,,,,
Toyota,Camry, 2007,Шымкент,седан,2.4 (газ-бензин),,автомат,слева,черный,передний привод,Да,5 500 000 ₸,5 098 000,,,,
Volkswagen,Golf, 1993,Алматы,хэтчбек,2 (бензин),,механика,слева,синий металлик,,Да,1 200 000 ₸,1 113 000,,,,
Volkswagen,Tiguan, 2014,Нур-Султан (Астана),кроссовер,1.4 (бензин),214 000 км,автомат,слева,синий металлик,передний привод,Да,5 450 000 ₸,5 975 000,,,,
BMW,X5 M, 2011,Алматы,кроссовер,4.4 (бензин),100 000 км,автомат,слева,синий,полный привод,Нет,10 000 000 ₸,14 500 000,,,,
Lifan,Solano, 2017,Семей,седан,1.5 (бензин),47 000 км,механика,слева,вишня металлик,передний привод,Да,2 900 000 ₸,3 056 000,,,,
Mercedes-Benz,S 500, 2007,Алматы,седан,5 (бензин),127 000 км,автомат,слева,белый металлик,,Да,6 500 000 ₸,6 315 000,,,,
Nissan,Teana, 2013,Павлодар,седан,3.5 (бензин),116 986 км,вариатор,слева,черный металлик,,Да,5 200 000 ₸,5 643 000,,,,
Mercedes-Benz,Sprinter, 2013,Алматы,микроавтобус,4.3 (бензин),265 000 км,автомат,слева,белый,задний привод,Да,12 500 000 ₸,11 022 000,,WDB90663*1S****91,,
Toyota,Estima Emina, 1993,Костанай,минивэн,2.2 (дизель),350 000 км,автомат,справа,зеленый металлик,полный привод,Да,1 600 000 ₸,1 620 000,На заказ,cxr20-00*33****..,,
Mercedes-Benz,E 220, 1978,Шымкент,седан,2.2 (дизель),,механика,слева,белый металлик,задний привод,Да,8 500 000 ₸,,,,,
Toyota,Corolla, 2018,Алматы,седан,1.4 (бензин),27 000 км,механика,слева,белый,передний привод,Да,7 200 000 ₸,8 332 000,,,,
BMW,X5, 2007,Караганда,кроссовер,3 (бензин),161 000 км,автомат,слева,серебристый,полный привод,Да,7 000 000 ₸,7 020 000,На заказ,,,
Volkswagen,Passat, 1993,Затобольск,универсал,1.8 (бензин),,механика,слева,зеленый металлик,передний привод,Да,1 150 000 ₸,1 242 000,,WWWZZZ31*PE****82,,
Mercedes-Benz,GLA 250, 2014,Алматы,кроссовер,2 (бензин),,робот,слева,белый,полный привод,Да,11 888 888 ₸,11 630 000,,,,
Mitsubishi,Lancer, 2008,Тараз,седан,1.3 (бензин),220 000 км,автомат,слева,белый,передний привод,Да,2 900 000 ₸,3 324 000,,,,
ГАЗ,ГАЗель, 2010,Алматы,пикап,2.9 (газ-бензин),,механика,слева,белый,задний привод,Да,4 600 000 ₸,4 155 000,,,,
Toyota,Camry, 2014,Алматы,седан,2.5 (бензин),147 000 км,автомат,слева,черный,передний привод,Да,8 500 000 ₸,8 484 000,,,,
Renault,Duster, 2017,Петропавловск,кроссовер,2 (бензин),,механика,слева,коричневый металлик,полный привод,Да,5 750 000 ₸,6 110 000,,,,
Toyota,Highlander, 2002,Кокшетау,кроссовер,2.4 (бензин),378 194 км,автомат,слева,синий металлик,передний привод,Нет,4 200 000 ₸,5 660 000,,,,
Mercedes-Benz,GL 500, 2013,Нур-Султан (Астана),внедорожник,4.7 (бензин),122 000 км,автомат,слева,белый,полный привод,Да,19 000 000 ₸,18 618 000,,,,
Mercedes-Benz,E 230, 1997,Караганда,седан,2.3 (бензин),,механика,слева,,задний привод,Да,3 500 000 ₸,2 453 000,,,,
Hyundai,Solaris, 2018,Петропавловск,седан,1.4 (бензин),42 000 км,механика,слева,белый металлик,передний привод,Да,5 050 000 ₸,5 660 000,,,,
ВАЗ (Lada),2170 (седан), 2007,Павлодар,седан,1.6 (бензин),154 211 км,механика,слева,серебристый,передний привод,Нет,1 150 000 ₸,1 313 000,,,,
Toyota,Camry Gracia, 1998,Нур-Султан (Астана),универсал,2.2 (бензин),,автомат,справа,синий,,Нет,2 350 000 ₸,2 654 000,,,,
Toyota,Estima, 2005,Нур-Султан (Астана),минивэн,3 (бензин),146 612 км,автомат,справа,серый металлик,полный привод,Нет,3 300 000 ₸,6 288 000,,$$$$$$$$*$$****$$,,
BMW,530, 2020,Алматы,седан,2 (бензин),,автомат,слева,черный,полный привод,Да,31 500 000 ₸,,,,,
Toyota,Camry, 2018,Алматы,седан,2.5 (бензин),,типтроник,слева,черный металлик,передний привод,Да,14 300 000 ₸,12 966 000,,,,
Daewoo,Nexia, 2013,Шымкент,седан,1.5 (бензин),100 000 км,механика,слева,бордовый металлик,передний привод,Да,1 670 000 ₸,1 698 000,,,,
ВАЗ (Lada),2172 (хэтчбек), 2010,Актобе,хэтчбек,1.6 (бензин),190 000 км,механика,слева,зеленый металлик,передний привод,Да,1 550 000 ₸,1 518 000,,,,
Toyota,Camry, 2016,Нур-Султан (Астана),седан,2 (бензин),57 000 км,автомат,слева,белый металлик,передний привод,Да,9 100 000 ₸,10 228 000,,,,
Ford,Transit, 2010,Шымкент,фургон,2.2 (дизель),357 000 км,механика,слева,белый,передний привод,Да,4 200 000 ₸,4 700 000,,,,
Kia,Picanto, 2019,Актау,хэтчбек,1.2 (бензин),38 000 км,автомат,слева,черный металлик,передний привод,Нет,3 500 000 ₸,5 650 000,,,,
Mercedes-Benz,Sprinter, 2001,Тараз,минивэн,2.3 (дизель),400 000 км,механика,слева,белый металлик,задний привод,Да,3 500 000 ₸,3 946 000,,,,
Opel,Vectra, 1995,Туркестан,седан,2 (газ-бензин),400 000 км,автомат,слева,белый,передний привод,Да,1 700 000 ₸,1 131 000,,,,
Toyota,Camry, 2015,Уральск,седан,2.5 (бензин),121 000 км,автомат,слева,серый металлик,передний привод,Нет,6 800 000 ₸,9 564 000,,,,
Nissan,Patrol, 2011,Петропавловск,внедорожник,5.6 (газ-бензин),196 000 км,автомат,слева,белый,полный привод,Да,10 500 000 ₸,10 710 000,,,,
Nissan,Patrol, 2011,Нур-Султан (Астана),внедорожник,5.6 (газ-бензин),195 000 км,автомат,слева,белый,полный привод,Да,10 500 000 ₸,10 710 000,,,,
Toyota,Avensis, 2010,Жанаозен,седан,1.6 (газ-бензин),264 000 км,механика,слева,черный металлик,передний привод,Нет,3 700 000 ₸,5 411 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2013,Павлодар,хэтчбек,1.6 (бензин),124 000 км,механика,слева,серебристый металлик,передний привод,Нет,1 630 000 ₸,1 646 000,,,,
ВАЗ (Lada),2170 (седан), 2013,Атырау,седан,1.6 (бензин),205 000 км,механика,слева,черный металлик,передний привод,Да,2 200 000 ₸,2 001 000,,XTA21703*D0****71,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Шымкент,хэтчбек,1.5 (бензин),153 200 км,механика,слева,зеленый металлик,передний привод,Нет,950 000 ₸,958 000,,,,
Honda,Civic, 2001,Актау,хэтчбек,1.6 (бензин),260 000 км,механика,слева,серебристый металлик,передний привод,Да,2 500 000 ₸,2 300 000,,shheu877*1u****76,,
Toyota,Camry, 2019,Уральск,седан,2.5 (бензин),4 200 км,автомат,слева,белый металлик,передний привод,Да,12 400 000 ₸,13 687 000,,,,
Lexus,RX 300, 2001,Нур-Султан (Астана),кроссовер,3 (бензин),290 000 км,автомат,слева,белый,полный привод,Да,4 390 000 ₸,4 759 000,,,,
Mercedes-Benz,S 63 AMG, 2014,Алматы,седан,5.5 (бензин),46 860 км,автомат,слева,черный,полный привод,Да,34 900 000 ₸,34 527 000,,,,
Lexus,GX 460, 2010,Усть-Каменогорск,внедорожник,4.6 (бензин),,автомат,слева,белый,полный привод,Нет,11 000 000 ₸,13 967 000,,,,
Mercedes-Benz,C 180, 1996,Костанай,седан,1.8 (бензин),330 000 км,механика,слева,белый,задний привод,Да,1 500 000 ₸,1 634 000,,,,
Toyota,Camry, 2002,Алматы,седан,3 (бензин),,автомат,слева,белый металлик,передний привод,Да,4 500 000 ₸,4 082 000,,,,
BMW,X5, 2001,Уральск,внедорожник,3 (бензин),229 560 км,типтроник,слева,белый металлик,полный привод,Да,4 000 000 ₸,4 113 000,,,,
Toyota,Alphard, 2006,Алматы,минивэн,3 (бензин),142 000 км,автомат,справа,белый,передний привод,Да,8 200 000 ₸,6 850 000,,,,
Toyota,Camry, 2013,Алматы,седан,2.5 (бензин),150 000 км,автомат,слева,черный металлик,передний привод,Нет,5 500 000 ₸,8 043 000,,Jti4135b*o7****98,,
Nissan,Maxima, 1997,Тараз,седан,2 (газ-бензин),,механика,слева,белый,передний привод,Да,111 999 ₸,1 775 000,,,,
Toyota,Highlander, 2008,Алматы,кроссовер,2.7 (газ-бензин),208 080 км,автомат,слева,белый металлик,передний привод,Да,8 200 000 ₸,8 433 000,,,,
Lexus,UX 200, 2019,Шымкент,кроссовер,2 (бензин),8 308 км,вариатор,слева,синий металлик,передний привод,Да,17 500 000 ₸,17 000 000,,,,
Mitsubishi,Montero Sport, 2001,Сатпаев,внедорожник,3.5 (бензин),,автомат,слева,,полный привод,Да,4 700 000 ₸,3 707 000,,,,
Toyota,Land Cruiser Prado, 2008,Караганда,внедорожник,4 (бензин),120 000 км,автомат,слева,серебристый металлик,полный привод,Да,13 200 000 ₸,10 099 000,,,,
Volkswagen,Golf, 1997,Алматы,хэтчбек,2 (бензин),,автомат,слева,синий металлик,передний привод,Да,1 800 000 ₸,1 547 000,,W****z1h**w****27,,
Lifan,X60, 2014,Алматы,кроссовер,1.8 (бензин),,механика,слева,белый,передний привод,Да,2 950 000 ₸,2 851 000,,,,
Mercedes-Benz,E 230, 1995,Шымкент,седан,2.3 (бензин),,автомат,слева,синий металлик,задний привод,Да,2 100 000 ₸,2 032 000,,,,
ВАЗ (Lada),2171 (универсал), 2009,Актобе,универсал,1.6 (газ-бензин),188 000 км,механика,слева,зеленый металлик,передний привод,Нет,1 150 000 ₸,1 300 000,,,,
Nissan,Maxima, 1997,Семей,седан,3 (бензин),,автомат,слева,белый металлик,передний привод,Да,2 500 000 ₸,1 775 000,,,,
Toyota,Voxy, 2004,Атырау,минивэн,2 (бензин),,автомат,справа,синий металлик,передний привод,Нет,2 000 000 ₸,3 500 000,,,,
Toyota,Alphard, 2005,Атырау,минивэн,2.4 (газ-бензин),150 000 км,автомат,слева,белый,передний привод,Нет,5 000 000 ₸,5 567 000,,,,
Ford,Mustang, 2018,Павлодар,купе,2.3 (бензин),56 648 км,типтроник,слева,серый металлик,задний привод,Да,16 500 000 ₸,16 500 000,,,,
ВАЗ (Lada),XRAY, 2017,Атырау,хэтчбек,1.8 (бензин),84 000 км,механика,слева,серебристый металлик,передний привод,Да,4 200 000 ₸,4 084 000,,,,
Lexus,RX 450h, 2016,Алматы,кроссовер,3.5 (бензин),,вариатор,слева,серый металлик,,Да,20 500 000 ₸,20 500 000,,,,
Chevrolet,Equinox, 2018,Алматы,кроссовер,1.5 (бензин),,автомат,слева,белый,полный привод,Да,8 900 000 ₸,8 725 000,На заказ,,,
Kia,Sorento, 2003,Шымкент,внедорожник,2.5 (дизель),248 000 км,автомат,слева,зеленый,полный привод,Да,2 800 000 ₸,2 750 000,,,,
BMW,740, 1994,Талдыкорган,седан,4 (бензин),,механика,слева,серебристый металлик,задний привод,Да,2 800 000 ₸,2 575 000,,,,
Mercedes-Benz,E 280, 1994,Нур-Султан (Астана),седан,2.8 (бензин),385 000 км,автомат,слева,белый,задний привод,Да,2 200 000 ₸,2 319 000,,,,
Subaru,Legacy, 2004,Алматы,седан,2.5 (бензин),181 000 км,автомат,слева,черный,полный привод,Да,4 000 000 ₸,3 971 000,,,,
Hyundai,Elantra, 2011,Нур-Султан (Астана),седан,1.6 (бензин),224 500 км,автомат,слева,белый,передний привод,Да,2 900 000 ₸,4 344 000,,,,
Daewoo,Matiz, 2010,Экибастуз,хэтчбек,0.8 (бензин),185 000 км,механика,слева,белый,передний привод,Да,1 650 000 ₸,1 422 000,,,,
Daewoo,Nexia, 2006,Сарыагаш,седан,1.6 (бензин),500 км,механика,слева,зеленый металлик,передний привод,Нет,750 000 ₸,1 122 000,,,,
Toyota,Land Cruiser Prado, 2018,Алматы,внедорожник,4 (бензин),30 000 км,автомат,слева,черный,полный привод,Да,26 000 000 ₸,21 403 000,,,,
Mercedes-Benz,S 430, 2000,Нур-Султан (Астана),седан,4.3 (бензин),,типтроник,слева,черный металлик,задний привод,Да,2 600 000 ₸,2 867 000,,,,
Mercedes-Benz,Sprinter, 2009,Алматы,микроавтобус,4 (бензин),,автомат,справа,бежевый металлик,задний привод,Да,9 000 000 ₸,6 862 000,,WDB90663*1S****58,,
Hummer,H1, 1996,Нур-Султан (Астана),внедорожник,6.5 (дизель),74 000 км,автомат,слева,черный,полный привод,Да,17 000 000 ₸,17 000 000,,,,
Volkswagen,Golf, 1993,Петропавловск,купе,1.8 (бензин),250 000 км,автомат,слева,бордовый,передний привод,Да,1 450 000 ₸,1 113 000,,,,
Mitsubishi,Space Runner, 1995,Алматы,минивэн,1.8 (бензин),,механика,слева,красный,передний привод,Да,1 500 000 ₸,1 154 000,,,,
Mercedes-Benz,S 63 AMG, 2007,Павлодар,седан,6.3 (бензин),,автомат,слева,,,Да,9 500 000 ₸,9 996 000,,,,
Toyota,Tundra, 2000,Нур-Султан (Астана),пикап,4.7 (газ-бензин),,автомат,слева,черный,полный привод,Да,6 900 000 ₸,6 900 000,,,,
Ford,Fusion, 2007,Атырау,универсал,1.6 (бензин),171 000 км,механика,слева,фиолетовый,передний привод,Да,1 850 000 ₸,1 883 000,,,,
Mercedes-Benz,E 280, 2007,Караганда,седан,3 (бензин),,автомат,слева,черный,задний привод,Да,5 600 000 ₸,5 367 000,,,,
Toyota,Camry, 2018,Тараз,седан,2.5 (бензин),44 000 км,автомат,слева,черный,,Да,13 000 000 ₸,12 966 000,,,,
Toyota,Camry, 2002,Талдыкорган,седан,2.4 (бензин),,автомат,слева,синий металлик,передний привод,Да,3 950 000 ₸,4 082 000,,,,
SsangYong,Rexton, 2012,Караганда,универсал,2.7 (дизель),200 000 км,механика,слева,черный металлик,полный привод,Нет,3 200 000 ₸,6 156 000,,,,
Hyundai,Santa Fe, 2014,Алматы,кроссовер,2.4 (бензин),67 000 км,автомат,слева,коричневый,полный привод,Да,9 500 000 ₸,9 124 000,,,,
Nissan,Patrol, 2011,Алматы,внедорожник,5.6 (газ-бензин),180 000 км,автомат,слева,белый металлик,полный привод,Да,10 800 000 ₸,10 710 000,,,,
Daewoo,Nexia, 2007,Актобе,седан,1.6 (газ-бензин),,механика,слева,белый металлик,передний привод,Нет,700 000 ₸,1 267 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Нур-Султан (Астана),хэтчбек,1.5 (бензин),160 000 км,механика,слева,бордовый металлик,передний привод,Нет,890 000 ₸,958 000,,,,
Audi,100, 1987,Аксу-Аюлы,седан,2.5 (бензин),,механика,слева,серебристый металлик,,Да,750 000 ₸,,,,,
ВАЗ (Lada),2170 (седан), 2007,Актобе,седан,1.5 (бензин),,механика,слева,черный металлик,передний привод,Нет,950 000 ₸,1 313 000,,,,
ВАЗ (Lada),2107, 2005,Актобе,седан,1.5 (газ-бензин),,механика,слева,белый металлик,задний привод,Нет,550 000 ₸,608 000,,,,
Toyota,Estima, 2006,Алматы,минивэн,2.4 (бензин),117 000 км,автомат,справа,белый металлик,полный привод,Нет,2 700 000 ₸,5 820 000,,,,
Audi,A6, 2011,Алматы,седан,3 (бензин),150 000 км,типтроник,слева,черный,,Да,7 500 000 ₸,7 350 000,,,,
Lexus,LX 570, 2018,Актобе,внедорожник,5.7 (бензин),14 500 км,автомат,слева,черный металлик,полный привод,Да,44 500 000 ₸,43 233 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Нур-Султан (Астана),седан,1.5 (бензин),,механика,слева,,передний привод,Нет,930 000 ₸,958 000,,,,
Skoda,Octavia, 2003,Алматы,хэтчбек,1.8 (бензин),,механика,слева,серебристый металлик,полный привод,Да,1 549 000 ₸,1 575 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2007,Уральск,хэтчбек,1.6 (бензин),,механика,слева,серый,,Нет,790 000 ₸,958 000,,,,
Toyota,Camry, 2012,Нур-Султан (Астана),седан,2.5 (бензин),148 863 км,автомат,слева,белый,передний привод,Да,7 100 000 ₸,8 000 000,,,,
Lincoln,Town Car, 2005,Алматы,седан,4.6 (бензин),117 000 км,автомат,слева,черный металлик,задний привод,Да,6 900 000 ₸,1 900 000,,,,
Toyota,RAV 4, 2018,Актобе,кроссовер,2.5 (бензин),49 664 км,автомат,слева,черный металлик,полный привод,Да,14 900 000 ₸,12 484 000,,,,
Toyota,Voxy, 2004,Усть-Каменогорск,минивэн,2 (бензин),270 000 км,типтроник,справа,белый металлик,передний привод,Нет,2 000 000 ₸,3 500 000,,,,
Toyota,Land Cruiser Prado, 2019,Нур-Султан (Астана),внедорожник,4 (бензин),35 000 км,автомат,слева,белый,полный привод,Да,31 800 000 ₸,22 634 000,,,,
Chevrolet,Niva, 2005,Актобе,внедорожник,1.7 (газ-бензин),159 000 км,механика,слева,синий,полный привод,Нет,1 500 000 ₸,1 536 000,,,,
ВАЗ (Lada),2170 (седан), 2014,Темирлановка,седан,1.6 (бензин),134 000 км,механика,слева,черный металлик,передний привод,Да,2 800 000 ₸,2 533 000,На заказ,,,
Kia,Rio, 2015,Петропавловск,хэтчбек,1.4 (бензин),46 000 км,автомат,слева,белый,передний привод,Да,4 800 000 ₸,4 769 000,,XWWDN512*FU****55,,
Chevrolet,Aveo, 2013,Кокшетау,хэтчбек,1.6 (бензин),97 000 км,механика,слева,синий металлик,передний привод,Да,4 000 000 ₸,3 149 000,,,,
ГАЗ,ГАЗель, 2013,Атырау,фургон,2.9 (газ-бензин),211 000 км,механика,слева,белый,задний привод,Да,4 900 000 ₸,4 765 000,,,,
Toyota,Camry, 2020,Нур-Султан (Астана),седан,2.5 (бензин),,автомат,слева,,передний привод,Да,16 100 000 ₸,15 177 000,,,,
Honda,CR-V, 1998,Караганда,внедорожник,2 (бензин),200 000 км,механика,слева,оранжевый металлик,полный привод,Да,3 500 000 ₸,3 275 000,,,,
Mitsubishi,Pajero, 1994,Алматы,внедорожник,2.8 (дизель),,автомат,справа,синий металлик,полный привод,Да,2 000 000 ₸,2 176 000,,,,
ВАЗ (Lada),2170 (седан), 2011,Щучинск,седан,1.6 (бензин),203 562 км,механика,слева,синий металлик,передний привод,Да,1 650 000 ₸,1 703 000,,,,
Toyota,Camry, 2011,Нур-Султан (Астана),седан,3.5 (бензин),,автомат,слева,черный,передний привод,Да,9 400 000 ₸,6 567 000,,,,
Nissan,Primera, 1998,Алматы,универсал,2 (бензин),,автомат,слева,серебристый,передний привод,Да,1 700 000 ₸,1 418 000,,,,
Lexus,RX 350, 2006,Усть-Каменогорск,кроссовер,3.5 (бензин),100 000 км,автомат,слева,серый металлик,полный привод,Да,8 300 000 ₸,7 495 000,,,,
Kia,Optima, 2011,Уральск,седан,2 (газ-бензин),156 667 км,типтроник,слева,белый металлик,передний привод,Да,5 500 000 ₸,6 000 000,,,,
Toyota,Estima Lucida, 1997,Алматы,минивэн,2.4 (газ-бензин),440 000 км,автомат,справа,серебристый металлик,полный привод,Да,2 400 000 ₸,2 160 000,,,,
Volkswagen,Polo, 2015,Шымкент,седан,1.6 (бензин),,механика,слева,,,Да,4 000 000 ₸,4 255 000,,,,
Mercedes-Benz,Sprinter, 2012,Балхаш,микроавтобус,2.2 (дизель),,механика,слева,черный,задний привод,Да,8 200 000 ₸,9 860 000,,,,
Hyundai,Solaris, 2016,Актобе,седан,1.6 (бензин),127 000 км,автомат,слева,белый,,Нет,3 100 000 ₸,5 525 000,,,,
Volkswagen,Transporter, 2003,Уральск,минивэн,2 (дизель),,механика,слева,белый,полный привод,Да,4 200 000 ₸,4 025 000,,,,
Hyundai,Santa Fe, 2007,Шымкент,кроссовер,2.7 (бензин),174 362 км,автомат,слева,серебристый,,Да,5 300 000 ₸,5 336 000,,,,
Toyota,RAV 4, 1996,Алматы,кроссовер,2 (бензин),,механика,слева,сиреневый металлик,полный привод,Да,3 100 000 ₸,2 540 000,,,,
Nissan,Skyline, 2009,Усть-Каменогорск,седан,2.5 (бензин),121 000 км,автомат,справа,белый металлик,полный привод,Да,5 900 000 ₸,5 900 000,,,,
Lexus,LS 430, 2002,Тараз,седан,4.3 (газ-бензин),205 000 км,автомат,слева,серебристый металлик,задний привод,Нет,3 200 000 ₸,4 000 000,,,,
Honda,Inspire, 2009,Усть-Каменогорск,седан,3.5 (бензин),130 000 км,автомат,справа,белый металлик,передний привод,Да,5 900 000 ₸,5 900 000,,,,
Subaru,Forester, 2002,Кокшетау,кроссовер,2.5 (газ-бензин),,механика,слева,серебристый металлик,полный привод,Да,3 500 000 ₸,3 589 000,,,,
Porsche,Cayenne, 2008,Алматы,кроссовер,4.8 (бензин),,типтроник,слева,белый металлик,полный привод,Да,7 700 000 ₸,6 948 000,,,,
Toyota,Hilux Surf, 1997,Актобе,внедорожник,2.7 (газ-бензин),370 000 км,автомат,справа,черный,полный привод,Да,2 500 000 ₸,3 660 000,,,,
